"created,""currency"",""fee"",""net"""
"2020-05-02 19:25:38,""usd"",""0.68"",""12.27"""
"2020-05-02 20:47:58,""usd"",""0.88"",""19.07"""
"2020-05-02 22:00:04,""usd"",""0.68"",""12.27"""
"2020-05-02 22:02:50,""usd"",""0.68"",""12.27"""
"2020-05-02 22:34:32,""usd"",""0.68"",""12.27"""
"2020-05-02 23:05:25,""usd"",""0.68"",""12.27"""
"2020-05-02 23:06:05,""usd"",""0.68"",""12.27"""
"2020-05-02 23:14:37,""usd"",""0.68"",""12.27"""
"2020-05-02 23:50:18,""usd"",""0.68"",""12.27"""
"2020-05-03 00:34:18,""usd"",""0.68"",""12.27"""
"2020-05-03 00:45:11,""usd"",""0.68"",""12.27"""
"2020-05-03 03:00:55,""usd"",""0.68"",""12.27"""
"2020-05-03 06:17:35,""usd"",""0.68"",""12.27"""
"2020-05-04 14:13:47,""usd"",""0.48"",""12.47"""
"2020-05-05 08:47:21,""usd"",""15.00"",""-27.95"""
"2020-05-08 22:12:44,""usd"",""0.68"",""12.27"""
"2020-05-09 16:55:28,""usd"",""0.68"",""12.27"""
"2020-05-09 17:59:15,""usd"",""0.88"",""19.07"""
"2020-05-09 18:30:04,""usd"",""0.68"",""12.27"""
"2020-05-10 01:55:47,""usd"",""0.68"",""12.27"""
"2020-05-10 01:59:32,""usd"",""0.68"",""12.27"""
"2020-05-10 02:00:43,""usd"",""0.68"",""12.27"""
"2020-05-10 06:01:09,""usd"",""0.68"",""12.27"""
"2020-05-10 13:24:14,""usd"",""0.68"",""12.27"""
"2020-05-10 15:57:08,""usd"",""0.68"",""12.27"""
"2020-05-10 15:59:06,""usd"",""0.80"",""16.42"""
"2020-05-10 19:01:51,""usd"",""0.68"",""12.27"""
"2020-05-10 20:07:29,""usd"",""0.68"",""12.27"""
"2020-05-11 05:06:29,""usd"",""0.68"",""12.27"""
"2020-05-11 05:44:21,""usd"",""0.68"",""12.27"""
"2020-05-11 12:51:53,""usd"",""0.68"",""12.27"""
"2020-05-11 15:01:03,""usd"",""0.68"",""12.27"""
"2020-05-11 16:00:09,""usd"",""0.68"",""12.27"""
"2020-05-11 16:09:43,""usd"",""0.68"",""12.27"""
"2020-05-11 17:29:15,""usd"",""0.68"",""12.27"""
"2020-05-12 02:30:53,""usd"",""0.68"",""12.27"""
"2020-05-12 06:37:38,""usd"",""0.68"",""12.27"""
"2020-05-12 08:47:34,""usd"",""0.68"",""12.27"""
"2020-05-12 14:54:04,""usd"",""0.68"",""12.27"""
"2020-05-12 20:48:07,""usd"",""0.68"",""12.27"""
"2020-05-13 01:39:36,""usd"",""0.68"",""12.27"""
"2020-05-13 05:28:56,""usd"",""0.88"",""19.07"""
"2020-05-13 14:12:40,""usd"",""15.00"",""-27.95"""
"2020-05-13 17:32:18,""usd"",""0.68"",""12.27"""
"2020-05-14 00:48:18,""usd"",""0.68"",""12.27"""
"2020-05-14 01:05:38,""usd"",""0.68"",""12.27"""
"2020-05-14 02:29:34,""usd"",""0.68"",""12.27"""
"2020-05-14 02:38:40,""usd"",""0.68"",""12.27"""
"2020-05-14 02:57:54,""usd"",""0.80"",""16.42"""
"2020-05-14 08:24:55,""usd"",""0.68"",""12.27"""
"2020-05-14 16:11:35,""usd"",""0.68"",""12.27"""
"2020-05-14 16:15:15,""usd"",""0.68"",""12.27"""
"2020-05-14 16:45:12,""usd"",""0.68"",""12.27"""
"2020-05-14 19:58:04,""usd"",""0.68"",""12.27"""
"2020-05-14 22:32:24,""usd"",""0.68"",""12.27"""
"2020-05-14 22:39:53,""usd"",""0.68"",""12.27"""
"2020-05-15 07:32:34,""usd"",""0.68"",""12.27"""
"2020-05-15 13:48:20,""usd"",""15.00"",""-27.95"""
"2020-05-15 16:39:34,""usd"",""0.68"",""12.27"""
"2020-05-15 21:15:38,""usd"",""0.68"",""12.27"""
"2020-05-16 01:16:58,""usd"",""0.68"",""12.27"""
"2020-05-16 01:48:22,""usd"",""0.68"",""12.27"""
"2020-05-16 02:25:27,""usd"",""1.17"",""28.78"""
"2020-05-16 03:55:44,""usd"",""0.68"",""12.27"""
"2020-05-16 05:08:52,""usd"",""0.68"",""12.27"""
"2020-05-16 05:29:59,""usd"",""0.68"",""12.27"""
"2020-05-16 06:30:13,""usd"",""0.68"",""12.27"""
"2020-05-16 07:56:22,""usd"",""0.68"",""12.27"""
"2020-05-16 17:08:31,""usd"",""0.68"",""12.27"""
"2020-05-16 17:24:44,""usd"",""0.68"",""12.27"""
"2020-05-16 20:16:37,""usd"",""0.88"",""19.07"""
"2020-05-16 23:21:35,""usd"",""0.68"",""12.27"""
"2020-05-17 03:03:29,""usd"",""0.68"",""12.27"""
"2020-05-17 03:46:16,""usd"",""0.68"",""12.27"""
"2020-05-17 05:18:10,""usd"",""0.68"",""12.27"""
"2020-05-17 05:59:34,""usd"",""0.68"",""12.27"""
"2020-05-17 13:12:28,""usd"",""15.00"",""-27.95"""
"2020-05-17 15:42:06,""usd"",""0.68"",""12.27"""
"2020-05-17 16:37:36,""usd"",""0.68"",""12.27"""
"2020-05-17 16:40:33,""usd"",""0.68"",""12.27"""
"2020-05-17 18:44:21,""usd"",""0.68"",""12.27"""
"2020-05-17 21:53:41,""usd"",""0.68"",""12.27"""
"2020-05-17 23:12:18,""usd"",""0.68"",""12.27"""
"2020-05-18 01:51:38,""usd"",""0.68"",""12.27"""
"2020-05-18 08:46:50,""usd"",""0.00"",""-15.68"""
"2020-05-18 22:12:02,""usd"",""0.68"",""12.27"""
"2020-05-19 09:17:55,""usd"",""0.68"",""12.27"""
"2020-05-19 09:20:33,""usd"",""0.80"",""16.42"""
"2020-05-19 09:36:38,""usd"",""0.00"",""-12.95"""
"2020-05-19 19:56:51,""usd"",""0.68"",""12.27"""
"2020-05-19 22:01:10,""usd"",""0.68"",""12.27"""
"2020-05-19 22:06:07,""usd"",""0.68"",""12.27"""
"2020-05-19 22:07:26,""usd"",""0.68"",""12.27"""
"2020-05-20 01:59:49,""usd"",""0.68"",""12.27"""
"2020-05-20 03:02:39,""usd"",""0.68"",""12.27"""
"2020-05-20 15:05:59,""usd"",""0.68"",""12.27"""
"2020-05-20 16:02:33,""usd"",""0.68"",""12.27"""
"2020-05-20 16:09:36,""usd"",""0.68"",""12.27"""
"2020-05-20 18:57:00,""usd"",""0.68"",""12.27"""
"2020-05-20 20:12:24,""usd"",""0.68"",""12.27"""
"2020-05-21 00:27:29,""usd"",""0.68"",""12.27"""
"2020-05-21 01:26:06,""usd"",""0.68"",""12.27"""
"2020-05-21 01:39:28,""usd"",""0.68"",""12.27"""
"2020-05-21 07:57:43,""usd"",""0.68"",""12.27"""
"2020-05-21 15:31:18,""usd"",""0.68"",""12.27"""
"2020-05-21 16:34:00,""usd"",""0.68"",""12.27"""
"2020-05-21 16:35:56,""usd"",""0.68"",""12.27"""
