"created_utc","gross","fee","net"
"2020-05-14 00:38:40","12.95","0.68","12.27"
"2020-05-14 00:57:54","17.22","0.80","16.42"
"2020-05-14 06:24:55","12.95","0.68","12.27"
"2020-05-14 14:11:35","12.95","0.68","12.27"
"2020-05-14 14:15:15","12.95","0.68","12.27"
"2020-05-14 14:45:12","12.95","0.68","12.27"
"2020-05-14 17:58:04","12.95","0.68","12.27"
"2020-05-14 20:32:24","12.95","0.68","12.27"
"2020-05-14 20:39:53","12.95","0.68","12.27"
"2020-05-15 05:32:34","12.95","0.68","12.27"
"2020-05-15 11:48:20","-12.95","15.00","-27.95"
"2020-05-15 14:39:34","12.95","0.68","12.27"
"2020-05-15 19:15:38","12.95","0.68","12.27"
"2020-05-15 23:16:58","12.95","0.68","12.27"
"2020-05-15 23:48:22","12.95","0.68","12.27"
"2020-05-16 00:25:27","29.95","1.17","28.78"
"2020-05-16 01:55:44","12.95","0.68","12.27"
"2020-05-16 03:08:52","12.95","0.68","12.27"
"2020-05-16 03:29:59","12.95","0.68","12.27"
"2020-05-16 04:30:13","12.95","0.68","12.27"
"2020-05-16 05:56:22","12.95","0.68","12.27"
"2020-05-16 15:08:31","12.95","0.68","12.27"
"2020-05-16 15:24:44","12.95","0.68","12.27"
"2020-05-16 18:16:37","19.95","0.88","19.07"
"2020-05-16 21:21:35","12.95","0.68","12.27"
"2020-05-17 01:03:29","12.95","0.68","12.27"
"2020-05-17 01:46:16","12.95","0.68","12.27"
"2020-05-17 03:18:10","12.95","0.68","12.27"
"2020-05-17 03:59:34","12.95","0.68","12.27"
"2020-05-17 11:12:28","-12.95","15.00","-27.95"
"2020-05-17 13:42:06","12.95","0.68","12.27"
"2020-05-17 14:37:36","12.95","0.68","12.27"
"2020-05-17 14:40:33","12.95","0.68","12.27"
"2020-05-17 16:44:21","12.95","0.68","12.27"
"2020-05-17 19:53:41","12.95","0.68","12.27"
"2020-05-17 21:12:18","12.95","0.68","12.27"
"2020-05-17 23:51:38","12.95","0.68","12.27"
"2020-05-18 06:46:50","-15.68","0.00","-15.68"
"2020-05-18 20:12:02","12.95","0.68","12.27"
"2020-05-19 07:17:55","12.95","0.68","12.27"
"2020-05-19 07:20:33","17.22","0.80","16.42"
"2020-05-19 07:36:38","-12.95","0.00","-12.95"
"2020-05-19 17:56:51","12.95","0.68","12.27"
"2020-05-19 20:01:10","12.95","0.68","12.27"
"2020-05-19 20:06:07","12.95","0.68","12.27"
"2020-05-19 20:07:26","12.95","0.68","12.27"
