,"created,""currency"",""fee"",""net"""
53,"2020-05-01 22:13:19,""usd"",""0.68"",""12.27"""
54,"2020-05-01 22:14:56,""usd"",""0.68"",""12.27"""
55,"2020-05-01 22:15:44,""usd"",""0.68"",""12.27"""
56,"2020-05-01 22:30:16,""usd"",""0.00"",""-12.95"""
57,"2020-05-01 22:31:25,""usd"",""0.00"",""-12.95"""
58,"2020-05-01 22:31:32,""usd"",""0.68"",""12.27"""
59,"2020-05-01 22:49:54,""usd"",""0.68"",""12.27"""
60,"2020-05-02 00:20:37,""usd"",""0.68"",""12.27"""
61,"2020-05-02 02:15:22,""usd"",""0.68"",""12.27"""
62,"2020-05-02 04:29:16,""usd"",""0.68"",""12.27"""
63,"2020-05-02 05:12:30,""usd"",""0.68"",""12.27"""
64,"2020-05-02 14:35:45,""usd"",""0.68"",""12.27"""
65,"2020-05-02 15:23:00,""usd"",""0.68"",""12.27"""
66,"2020-05-02 16:15:00,""usd"",""0.68"",""12.27"""
67,"2020-05-02 16:23:16,""usd"",""0.68"",""12.27"""
68,"2020-05-02 18:10:44,""usd"",""0.68"",""12.27"""
69,"2020-05-02 18:32:21,""usd"",""0.68"",""12.27"""
70,"2020-05-02 19:25:38,""usd"",""0.68"",""12.27"""
71,"2020-05-02 20:47:58,""usd"",""0.88"",""19.07"""
72,"2020-05-02 22:00:04,""usd"",""0.68"",""12.27"""
73,"2020-05-02 22:02:50,""usd"",""0.68"",""12.27"""
74,"2020-05-02 22:34:32,""usd"",""0.68"",""12.27"""
75,"2020-05-02 23:05:25,""usd"",""0.68"",""12.27"""
76,"2020-05-02 23:06:05,""usd"",""0.68"",""12.27"""
77,"2020-05-02 23:14:37,""usd"",""0.68"",""12.27"""
78,"2020-05-02 23:50:18,""usd"",""0.68"",""12.27"""
79,"2020-05-03 00:34:18,""usd"",""0.68"",""12.27"""
80,"2020-05-03 00:45:11,""usd"",""0.68"",""12.27"""
81,"2020-05-03 03:00:55,""usd"",""0.68"",""12.27"""
82,"2020-05-03 06:17:35,""usd"",""0.68"",""12.27"""
83,"2020-05-04 14:13:47,""usd"",""0.48"",""12.47"""
84,"2020-05-05 08:47:21,""usd"",""15.00"",""-27.95"""
85,"2020-05-08 22:12:44,""usd"",""0.68"",""12.27"""
86,"2020-05-09 16:55:28,""usd"",""0.68"",""12.27"""
87,"2020-05-09 17:59:15,""usd"",""0.88"",""19.07"""
88,"2020-05-09 18:30:04,""usd"",""0.68"",""12.27"""
89,"2020-05-10 01:55:47,""usd"",""0.68"",""12.27"""
90,"2020-05-10 01:59:32,""usd"",""0.68"",""12.27"""
91,"2020-05-10 02:00:43,""usd"",""0.68"",""12.27"""
92,"2020-05-10 06:01:09,""usd"",""0.68"",""12.27"""
93,"2020-05-10 13:24:14,""usd"",""0.68"",""12.27"""
94,"2020-05-10 15:57:08,""usd"",""0.68"",""12.27"""
95,"2020-05-10 15:59:06,""usd"",""0.80"",""16.42"""
96,"2020-05-10 19:01:51,""usd"",""0.68"",""12.27"""
97,"2020-05-10 20:07:29,""usd"",""0.68"",""12.27"""
98,"2020-05-11 05:06:29,""usd"",""0.68"",""12.27"""
99,"2020-05-11 05:44:21,""usd"",""0.68"",""12.27"""
100,"2020-05-11 12:51:53,""usd"",""0.68"",""12.27"""
101,"2020-05-11 15:01:03,""usd"",""0.68"",""12.27"""
102,"2020-05-11 16:00:09,""usd"",""0.68"",""12.27"""
103,"2020-05-11 16:09:43,""usd"",""0.68"",""12.27"""
104,"2020-05-11 17:29:15,""usd"",""0.68"",""12.27"""
105,"2020-05-12 02:30:53,""usd"",""0.68"",""12.27"""
106,"2020-05-12 06:37:38,""usd"",""0.68"",""12.27"""
107,"2020-05-12 08:47:34,""usd"",""0.68"",""12.27"""
108,"2020-05-12 14:54:04,""usd"",""0.68"",""12.27"""
109,"2020-05-12 20:48:07,""usd"",""0.68"",""12.27"""
110,"2020-05-13 01:39:36,""usd"",""0.68"",""12.27"""
111,"2020-05-13 05:28:56,""usd"",""0.88"",""19.07"""
112,"2020-05-13 14:12:40,""usd"",""15.00"",""-27.95"""
113,"2020-05-13 17:32:18,""usd"",""0.68"",""12.27"""
114,"2020-05-14 00:48:18,""usd"",""0.68"",""12.27"""
115,"2020-05-14 01:05:38,""usd"",""0.68"",""12.27"""
116,"2020-05-14 02:29:34,""usd"",""0.68"",""12.27"""
117,"2020-05-14 02:38:40,""usd"",""0.68"",""12.27"""
118,"2020-05-14 02:57:54,""usd"",""0.80"",""16.42"""
119,"2020-05-14 08:24:55,""usd"",""0.68"",""12.27"""
120,"2020-05-14 16:11:35,""usd"",""0.68"",""12.27"""
121,"2020-05-14 16:15:15,""usd"",""0.68"",""12.27"""
122,"2020-05-14 16:45:12,""usd"",""0.68"",""12.27"""
123,"2020-05-14 19:58:04,""usd"",""0.68"",""12.27"""
124,"2020-05-14 22:32:24,""usd"",""0.68"",""12.27"""
125,"2020-05-14 22:39:53,""usd"",""0.68"",""12.27"""
126,"2020-05-15 07:32:34,""usd"",""0.68"",""12.27"""
127,"2020-05-15 13:48:20,""usd"",""15.00"",""-27.95"""
128,"2020-05-15 16:39:34,""usd"",""0.68"",""12.27"""
129,"2020-05-15 21:15:38,""usd"",""0.68"",""12.27"""
130,"2020-05-16 01:16:58,""usd"",""0.68"",""12.27"""
131,"2020-05-16 01:48:22,""usd"",""0.68"",""12.27"""
132,"2020-05-16 02:25:27,""usd"",""1.17"",""28.78"""
133,"2020-05-16 03:55:44,""usd"",""0.68"",""12.27"""
134,"2020-05-16 05:08:52,""usd"",""0.68"",""12.27"""
135,"2020-05-16 05:29:59,""usd"",""0.68"",""12.27"""
136,"2020-05-16 06:30:13,""usd"",""0.68"",""12.27"""
137,"2020-05-16 07:56:22,""usd"",""0.68"",""12.27"""
138,"2020-05-16 17:08:31,""usd"",""0.68"",""12.27"""
139,"2020-05-16 17:24:44,""usd"",""0.68"",""12.27"""
140,"2020-05-16 20:16:37,""usd"",""0.88"",""19.07"""
141,"2020-05-16 23:21:35,""usd"",""0.68"",""12.27"""
142,"2020-05-17 03:03:29,""usd"",""0.68"",""12.27"""
143,"2020-05-17 03:46:16,""usd"",""0.68"",""12.27"""
144,"2020-05-17 05:18:10,""usd"",""0.68"",""12.27"""
145,"2020-05-17 05:59:34,""usd"",""0.68"",""12.27"""
146,"2020-05-17 13:12:28,""usd"",""15.00"",""-27.95"""
147,"2020-05-17 15:42:06,""usd"",""0.68"",""12.27"""
148,"2020-05-17 16:37:36,""usd"",""0.68"",""12.27"""
149,"2020-05-17 16:40:33,""usd"",""0.68"",""12.27"""
150,"2020-05-17 18:44:21,""usd"",""0.68"",""12.27"""
151,"2020-05-17 21:53:41,""usd"",""0.68"",""12.27"""
152,"2020-05-17 23:12:18,""usd"",""0.68"",""12.27"""
153,"2020-05-18 01:51:38,""usd"",""0.68"",""12.27"""
154,"2020-05-18 08:46:50,""usd"",""0.00"",""-15.68"""
155,"2020-05-18 22:12:02,""usd"",""0.68"",""12.27"""
156,"2020-05-19 09:17:55,""usd"",""0.68"",""12.27"""
157,"2020-05-19 09:20:33,""usd"",""0.80"",""16.42"""
158,"2020-05-19 09:36:38,""usd"",""0.00"",""-12.95"""
159,"2020-05-19 19:56:51,""usd"",""0.68"",""12.27"""
160,"2020-05-19 22:01:10,""usd"",""0.68"",""12.27"""
161,"2020-05-19 22:06:07,""usd"",""0.68"",""12.27"""
162,"2020-05-19 22:07:26,""usd"",""0.68"",""12.27"""
163,"2020-05-20 01:59:49,""usd"",""0.68"",""12.27"""
164,"2020-05-20 03:02:39,""usd"",""0.68"",""12.27"""
165,"2020-05-20 15:05:59,""usd"",""0.68"",""12.27"""
166,"2020-05-20 16:02:33,""usd"",""0.68"",""12.27"""
167,"2020-05-20 16:09:36,""usd"",""0.68"",""12.27"""
168,"2020-05-20 18:57:00,""usd"",""0.68"",""12.27"""
169,"2020-05-20 20:12:24,""usd"",""0.68"",""12.27"""
170,"2020-05-21 00:27:29,""usd"",""0.68"",""12.27"""
171,"2020-05-21 01:26:06,""usd"",""0.68"",""12.27"""
172,"2020-05-21 01:39:28,""usd"",""0.68"",""12.27"""
173,"2020-05-21 07:57:43,""usd"",""0.68"",""12.27"""
174,"2020-05-21 15:31:18,""usd"",""0.68"",""12.27"""
175,"2020-05-21 16:34:00,""usd"",""0.68"",""12.27"""
176,"2020-05-21 16:35:56,""usd"",""0.68"",""12.27"""
177,"2020-05-21 18:25:52,""usd"",""0.68"",""12.27"""
178,"2020-05-21 18:26:06,""usd"",""0.68"",""12.27"""
179,"2020-05-21 19:42:08,""usd"",""0.68"",""12.27"""
180,"2020-05-21 22:22:33,""usd"",""0.68"",""12.27"""
181,"2020-05-22 00:49:42,""usd"",""0.68"",""12.27"""
182,"2020-05-22 01:32:51,""usd"",""0.68"",""12.27"""
183,"2020-05-22 04:01:05,""usd"",""0.68"",""12.27"""
184,"2020-05-22 04:29:01,""usd"",""0.68"",""12.27"""
185,"2020-05-22 07:18:45,""usd"",""0.68"",""12.27"""
186,"2020-05-22 15:44:35,""usd"",""0.68"",""12.27"""
187,"2020-05-22 17:58:45,""usd"",""0.68"",""12.27"""
188,"2020-05-22 22:41:29,""usd"",""0.73"",""14.24"""
189,"2020-05-22 23:24:33,""usd"",""0.68"",""12.27"""
190,"2020-05-23 01:09:38,""usd"",""0.68"",""12.27"""
191,"2020-05-23 04:01:07,""usd"",""0.68"",""12.27"""
192,"2020-05-23 04:47:08,""usd"",""0.68"",""12.27"""
193,"2020-05-24 12:47:43,""usd"",""1.17"",""28.80"""
194,"2020-05-24 13:58:41,""usd"",""1.17"",""28.80"""
195,"2020-05-24 23:49:34,""usd"",""0.68"",""12.27"""
196,"2020-05-24 23:50:00,""usd"",""0.73"",""14.24"""
197,"2020-05-25 00:02:07,""usd"",""0.68"",""12.27"""
198,"2020-05-25 00:06:14,""usd"",""0.68"",""12.27"""
199,"2020-05-25 00:21:04,""usd"",""0.98"",""22.49"""
200,"2020-05-25 02:08:39,""usd"",""0.68"",""12.27"""
201,"2020-05-25 02:28:21,""usd"",""0.68"",""12.27"""
202,"2020-05-25 08:28:09,""usd"",""1.17"",""28.80"""
203,"2020-05-25 10:07:20,""usd"",""1.17"",""28.80"""
204,"2020-05-25 14:43:12,""usd"",""0.00"",""-12.95"""
205,"2020-05-25 15:26:09,""usd"",""0.68"",""12.27"""
206,"2020-05-25 16:11:15,""usd"",""0.68"",""12.27"""
207,"2020-05-25 17:12:33,""usd"",""0.68"",""12.27"""
208,"2020-05-25 17:41:48,""usd"",""2.62"",""77.34"""
209,"2020-05-25 18:59:08,""usd"",""1.14"",""27.80"""
210,"2020-05-25 21:47:17,""usd"",""0.68"",""12.27"""
211,"2020-05-25 23:20:54,""usd"",""0.68"",""12.27"""
212,"2020-05-26 00:11:50,""usd"",""0.73"",""14.24"""
213,"2020-05-26 00:44:27,""usd"",""0.68"",""12.27"""
214,"2020-05-26 01:30:22,""usd"",""0.73"",""14.24"""
215,"2020-05-26 02:33:37,""usd"",""0.98"",""22.49"""
216,"2020-05-26 02:35:09,""usd"",""0.68"",""12.27"""
217,"2020-05-26 04:00:48,""usd"",""0.68"",""12.27"""
218,"2020-05-26 05:46:03,""usd"",""0.68"",""12.27"""
219,"2020-05-26 06:04:50,""usd"",""0.68"",""12.27"""
220,"2020-05-26 09:00:11,""usd"",""0.00"",""-28.94"""
221,"2020-05-26 13:42:50,""usd"",""0.68"",""12.27"""
222,"2020-05-26 14:32:04,""usd"",""0.68"",""12.27"""
223,"2020-05-26 15:06:31,""usd"",""0.68"",""12.27"""
224,"2020-05-26 15:08:15,""usd"",""0.65"",""11.35"""
225,"2020-05-26 15:08:57,""usd"",""0.68"",""12.27"""
226,"2020-05-26 15:44:16,""usd"",""0.68"",""12.27"""
227,"2020-05-26 16:33:31,""usd"",""0.73"",""14.24"""
228,"2020-05-26 17:16:17,""usd"",""0.68"",""12.27"""
229,"2020-05-26 17:20:49,""usd"",""0.73"",""14.24"""
230,"2020-05-26 17:48:02,""usd"",""0.68"",""12.27"""
231,"2020-05-26 17:56:14,""usd"",""0.68"",""12.27"""
232,"2020-05-26 18:11:29,""usd"",""0.68"",""12.27"""
233,"2020-05-26 19:46:09,""usd"",""0.68"",""12.27"""
234,"2020-05-26 20:47:53,""usd"",""0.68"",""12.27"""
235,"2020-05-26 20:55:03,""usd"",""1.14"",""27.80"""
236,"2020-05-26 21:35:25,""usd"",""0.68"",""12.27"""
237,"2020-05-26 21:37:51,""usd"",""0.73"",""14.24"""
238,"2020-05-26 22:02:27,""usd"",""0.68"",""12.27"""
239,"2020-05-26 22:12:42,""usd"",""0.68"",""12.27"""
240,"2020-05-26 22:43:57,""usd"",""0.68"",""12.27"""
241,"2020-05-26 23:28:22,""usd"",""0.68"",""12.27"""
242,"2020-05-27 00:00:30,""usd"",""0.68"",""12.27"""
243,"2020-05-27 00:13:46,""usd"",""0.68"",""12.27"""
244,"2020-05-27 01:27:17,""usd"",""0.73"",""14.24"""
245,"2020-05-27 01:29:49,""usd"",""0.68"",""12.27"""
246,"2020-05-27 01:38:28,""usd"",""0.48"",""12.47"""
247,"2020-05-27 02:13:20,""usd"",""0.68"",""12.27"""
248,"2020-05-27 03:07:04,""usd"",""0.68"",""12.27"""
249,"2020-05-27 03:20:41,""usd"",""0.68"",""12.27"""
250,"2020-05-27 03:20:48,""usd"",""0.68"",""12.27"""
251,"2020-05-27 04:05:59,""usd"",""0.88"",""19.07"""
252,"2020-05-27 04:16:41,""usd"",""0.68"",""12.27"""
253,"2020-05-27 12:31:14,""usd"",""0.48"",""12.47"""
254,"2020-05-27 13:06:30,""usd"",""0.68"",""12.27"""
255,"2020-05-27 13:13:19,""usd"",""2.04"",""57.88"""
256,"2020-05-27 14:39:39,""usd"",""1.17"",""28.78"""
257,"2020-05-27 15:09:31,""usd"",""0.73"",""14.24"""
258,"2020-05-27 15:54:16,""usd"",""0.68"",""12.27"""
